Entities,Start_index,End_index,Label,Doc_ID,title,description,date,transcriber name,transcript status
pal,971,974,ORG,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
the criminal justice control commission,1008,1047,ORG,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
youth enrichment services,1328,1353,ORG,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
the criminal juvenile aid bureau,1997,2029,ORG,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
bronx,2037,2042,GPE,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
the south bronx,2091,2106,LOC,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
lynch center,2108,2120,FAC,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
youth aid division 8,2170,2190,ORG,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
pal,2451,2454,ORG,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
the criminal justice control commission,3566,3605,ORG,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
new york city,4049,4062,GPE,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
the law enforcement assistance agency,4429,4466,ORG,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
the police athletic league,4811,4837,ORG,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
the police athletic league,4893,4919,ORG,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
michael card,5275,5287,PERSON,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
pal,5318,5321,ORG,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
pal,6073,6076,ORG,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
pal,6273,6276,ORG,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
pal,6455,6458,ORG,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
robert morgenthau,7136,7153,PERSON,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
manhattan,7187,7196,GPE,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
manhattan,7466,7475,GPE,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
police athletic league,7520,7542,ORG,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
morgenthau,7572,7582,PERSON,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
new york,7623,7631,GPE,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
manhattan,7650,7659,GPE,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
bronx,7912,7917,GPE,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
pal,8348,8351,ORG,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
the police athletic league,8448,8474,ORG,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
the police athletic league,8924,8950,ORG,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
pal,8980,8983,ORG,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
pal,9164,9167,ORG,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
pal,9268,9271,ORG,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
pal,10059,10062,ORG,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
pal,10405,10408,ORG,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
pal,10672,10675,ORG,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
pal,10917,10920,ORG,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
pal,11912,11915,ORG,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
police athletic league,12384,12406,ORG,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
police athletic league,12470,12492,ORG,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
league,12548,12554,ORG,RG_9_8_110,"Ford, Connie -- Executive Director of the Police Athletic League","Dr. Roscoe C. Brown, Jr. and Connie Ford discuss some of the common activities of the Police Athletic League (PAL), which serves nearly 60,000 New York City boys and girls during the winter and summer months. Their discussion occurs shortly after the Criminal Justice Control Commission provides funding for their YES I CAN (Youth Enrichment Services Through Cooperation and Achievement) program aimed at pre-delinquent boys and girls.",6/22/77,Ellen Noonan,Finished
