original_id,wiki_id,wiki_name,match_score
martin luther king,Q8027,Martin Luther King Jr.,100.0
black new yorkers,Q75971283,Black New Yorkers,100.0
jim,Q172804,ج,100.0
the puerto rican,Q7758711,The Puerto Rican Day,89.0
black creation,Q6208657,Joe Black,61.0
black americans,Q49085,African Americans,100.0
black creation,Q6208657,Joe Black,61.0
puccini,Q7311,Giacomo Puccini,100.0
57th street,Q2612366,57th Street,100.0
americas,Q828,Americas,100.0
states,Q30,United States of America,100.0
black new yorkers,Q75971283,Black New Yorkers,100.0
ethiopia,Q115,Ethiopia,100.0
bob,Q177275,bobsleigh,100.0
boston,Q100,Boston,100.0
george sparks,Q21536858,Nicholas George Sparks,74.0
carla,Q139608,1470 Carla,100.0
blake,Q41513,William Blake,100.0
the united negro college fund,Q735469,United Negro College Fund,93.0
sullivan,Q83807,Ed Sullivan,100.0
south bronx,Q2404798,South Bronx,100.0
georgia,Q230,Georgia,100.0
johnson,Q45923,Aaron Taylor-Johnson,100.0
larry wilson,Q1806134,Larry Wilson,100.0
new york jazz festival,Q7130068,Panasonic Village Jazz Festival,71.0
ymca,Q157169,YMCA,100.0
bob moore,Q326844,Bob Moore,100.0
richard jordan,Q492169,Richard Jordan,100.0
the puerto rican,Q7758711,The Puerto Rican Day,89.0
lincoln center,Q581044,Lincoln Center for the Performing Arts,100.0
the long island,Q1052769,Long Island iced tea,93.0
maxine sullivan,Q281341,Maxine Sullivan,100.0
maxine sullivan,Q281341,Maxine Sullivan,100.0
naacp,Q502044,NAACP,100.0
maxine sullivan,Q281341,Maxine Sullivan,100.0
opera,Q1344,opera,100.0
basil paterson,Q2886807,Basil A. Paterson,100.0
ira aldrich,Q36850246,Abelson interactor 1 (ABI1) and its interaction with Wiskott-Aldrich syndrome protein (wasp) are critical for proper eye formation in Xenopus embryos.,14.0
the metropolitan opera,Q188031,Metropolitan Opera House,100.0
the naacp legal defense fund,Q17008021,NAACP Legal Defense and Educational Fund,71.0
moynihan,Q54870959,Moynihan,100.0
opera,Q1344,opera,100.0
bill,Q31528,beak,100.0
ruth artist,Q104439979,Ruth Bussey García,73.0
oriental,Q648160,Oriental,100.0
count basie,Q107008,Count Basie,100.0
naacp,Q502044,NAACP,100.0
virginia,Q1370,Virginia,100.0
the boys clubs,Q16954888,The Lost Boys Club,88.0
nyu,Q49210,New York University,100.0
feinstein,Q230733,Dianne Feinstein,100.0
the legal defense fund,Q6517482,Legal defense fund,90.0
carnegie hall,Q200959,Carnegie Hall,100.0
sparks,Q145866,Sparks,100.0
aldrich,Q358732,Doug Aldrich,100.0
alexander,Q923,Alexander,100.0
carnegie hall,Q200959,Carnegie Hall,100.0
sparks,Q145866,Sparks,100.0
nigerian,Q7032867,Nigerian Army,94.0
the brooklyn museum,Q632682,Brooklyn Museum,100.0
caucasian,Q7129609,Caucasian,100.0
the bronx psychiatric center,Q50036556,Bronx Psychiatric Center,92.0
alexander,Q923,Alexander,100.0
the city of new york,Q60,New York City,100.0
larry,Q2262318,Larry,100.0
the national dental association,Q91482885,The National Dental Association,100.0
dubois,Q317176,Eugène Dubois,100.0
dubois,Q317176,Eugène Dubois,100.0
browning,Q233265,Robert Browning,100.0
alvin ailey,Q449037,Alvin Ailey,100.0
alvin ailey,Q449037,Alvin Ailey,100.0
pat,Q414526,patulin,100.0
lester alston,Q78265117,SEROLOGICAL STUDIES IN BAPTISIA AND CERTAIN OTHER GENERA OF THE LEGUMINOSAE,25.0
doug ward,Q102212976,Doug E. Ward,90.0
the civil rights act,Q501202,Civil Rights Act of 1875,89.0
doug ward,Q102212976,Doug E. Ward,90.0
lenox avenue,Q6523155,Malcolm X Boulevard,100.0
lee archer,Q987630,Lee Archer,100.0
hugh butts,Q5930187,Hugh Butt,95.0
7th avenue,Q109926,Seventh Avenue,100.0
the city university of new york,Q762266,City University of New York,100.0
earl,Q34659,My Name Is Earl,100.0
cecil taylor,Q363908,Cecil Taylor,100.0
connie,Q543815,Hurricane Connie,100.0
dick,Q15333,dick,100.0
joan,Q149935,2677 Joan,100.0
the new york public library,Q219555,New York Public Library,100.0
john rhoden,Q6254691,John Rhoden,100.0
the new york university college of dentistry,Q3339066,New York University College of Dentistry,95.0
a&r,Q610225,artist and repertoire,100.0
jocelyn,Q1632310,25415 Jocelyn,100.0
joan maynard,Q6205279,Joan Maynard,100.0
james neal,Q539743,James Neal,100.0
police athletic league,Q7209420,Police Athletic League,100.0
william alston,Q125879,William Alston,100.0
connie finch,Q90038158,"The Safety of Mother's Milk® Tea: Results of a Randomized Double-Blind, Controlled Study in Fully Breastfeeding Mothers and Their Infants",14.0
connie finch,Q90038158,"The Safety of Mother's Milk® Tea: Results of a Randomized Double-Blind, Controlled Study in Fully Breastfeeding Mothers and Their Infants",14.0
connie,Q543815,Hurricane Connie,100.0
jean carey bond,Q75662950,Jean Carey Bond,100.0
indians,Q49297,indigenous peoples of the United States,100.0
chinese,Q7850,Chinese,100.0
kathleen bullock,Q77906713,A synthetic vitreous fiber (SVF) occupational exposure database: implementing the SVF Health and Safety Partnership Program,29.0
the new world,Q28193,The New World,100.0
alan baron,Q4706282,"Alan Burns, 4th Baron Inverclyde",80.0
channel 13,Q41520212,Reshet 13,100.0
ellen,Q82226,Ellen,100.0
african revolutionary,Q1141973,Revolutionary United Front,72.0
african revolutionary,Q1141973,Revolutionary United Front,72.0
noble sissle,Q563239,Noble Sissle,100.0
george wallace,Q313776,George Wallace,100.0
joyce wein,Q1710047,Joyce Wein,100.0
iago,Q621171,Iago,100.0
chicano,Q581921,Mexican Americans,100.0
igbos,Q244157,Chibuze Family,100.0
the new york nets,Q572134,Brooklyn Nets,87.0
the new world,Q28193,The New World,100.0
the united nations,Q58446921,The United Nations,100.0
gateway,Q53060,gate,100.0
livingston college rutgers university,Q4261030,Livingston College,65.0
avon,Q19709,River Avon,100.0
loch lomond,Q208926,Loch Lomond,100.0
unique new york,Q43063406,Rialto Theater,61.0
loch lomond,Q208926,Loch Lomond,100.0
bedford,Q31291,"Herbrand Russell, 11th Duke of Bedford",100.0
bedford,Q31291,"Herbrand Russell, 11th Duke of Bedford",100.0
boy scout,Q21160476,Dahlia 'Boy Scout',100.0
bedford stuyvesant,Q1156982,Bedford–Stuyvesant,100.0
andy kirk,Q526442,Andy Kirk,100.0
frederick douglass,Q215562,Frederick Douglass,100.0
sheba,Q136910,1196 Sheba,100.0
medicaid,Q1141363,Medicaid,100.0
bergen street,Q2089166,Bergen Street,100.0
fifth avenue,Q109858,Fifth Avenue,100.0
ferguson,Q44980,Alex Ferguson,100.0
tuskegee,Q79718,Tuskegee,100.0
bob martin,Q217120,Bob Martin,100.0
times,Q40276,multiplication,100.0
times,Q40276,multiplication,100.0
tuskegee,Q79718,Tuskegee,100.0
tuskegee,Q79718,Tuskegee,100.0
to--,Q19105427,To ----,100.0
asian,Q48,Asia,100.0
fcc,Q128831,Federal Communications Commission,100.0
sba,Q37362,Akrotiri and Dhekelia,100.0
philharmonic hall,Q790654,David Geffen Hall,100.0
avon,Q19709,River Avon,100.0
sheba,Q136910,1196 Sheba,100.0
midtown,Q11249,Midtown Manhattan,100.0
paul laurence dunbar,Q974678,Paul Laurence Dunbar,100.0
bronx community college,Q4974180,Bronx Community College,100.0
paul,Q9200,Paul,100.0
mm-hmm,Q68306830,What do you say after you say Mm--hmm?,29.0
ralph carter,Q7287326,Ralph Carter,100.0
united states,Q30,United States of America,100.0
midtown,Q11249,Midtown Manhattan,100.0
roger furman,Q106103384,Roger Furman,100.0
andy,Q2421754,Andranik Madadian,100.0
patricia dempsey,Q3197082,Kingdoms of Kalamar,37.0
robert,Q175300,Chrodobertus,100.0
greenwich village,Q205380,Greenwich Village,100.0
opportunities industrialization centers,Q39053853,Opportunities Industrialization Center,99.0
northwestern,Q309350,Northwestern University,100.0
jazz festival,Q27148732,jazz festival,100.0
japanese,Q5287,Japanese,100.0
music for peace,Q164815,Woodstock Festival,67.0
ed brooke,Q5334591,Ed Brookes,95.0
roger wilkins,Q7359121,Roger Wilkins,100.0
oregon,Q824,Oregon,100.0
bill robinson,Q862416,Bill Robinson,100.0
cornell,Q49115,Cornell University,100.0
cornell,Q49115,Cornell University,100.0
hayden stone,Q5686269,"Hayden, Stone & Co.",89.0
roll jordan roll,Q17152304,"Roll, Jordan, Roll",100.0
miller,Q61381,Miller County,100.0
the old south,Q19067182,"In the ""Old South""",90.0
hud,Q1074,skin,100.0
the american revolution,Q7713544,The American Revolution,100.0
people in trouble,Q79547163,Troubled people,88.0
the amsterdam news,Q1140177,Amsterdam News,100.0
the cultural train,Q5844287,Posadas train station,62.0
terry smith,Q4424881,Terry Smith,100.0
topeka,Q41057,Topeka,100.0
jewish,Q7325,Jewish people,100.0
the puerto ricans,Q17111069,White Puerto Rican,89.0
topeka,Q41057,Topeka,100.0
black arts,Q19561644,Black Arts Viper,77.0
columbia,Q2251,Columbia River,100.0
afro-caribbean,Q2050339,Afro Caribbeans,97.0
jeepers creepers,Q673902,Jeepers Creepers,100.0
jeanette fields,Q459313,Jeanette Bolden,73.0
europeans,Q394067,Europeans,100.0
roger,Q171677,Roger Bacon,100.0
mary,Q345,Virgin Mary,100.0
jean,Q83363,jeans,100.0
the american negro theater,Q4744577,American Negro Theater,92.0
afro-caribbean,Q2050339,Afro Caribbeans,97.0
midwest,Q186545,Midwestern United States,100.0
hayden stone,Q5686269,"Hayden, Stone & Co.",89.0
ruth ann stewart,Q61960836,Contributors,36.0
greenwich village,Q205380,Greenwich Village,100.0
the national endowment for the arts,Q1967116,National Endowment for the Arts,100.0
romare bearden,Q1291679,Romare Bearden,100.0
the board of education,Q399541,board of education,90.0
meharry,Q37557906,Meharry,100.0
fletcher henderson,Q505559,Fletcher Henderson,100.0
the boy scouts,Q55385653,THE BOY SCOUTS.,100.0
the boy scouts,Q55385653,THE BOY SCOUTS.,100.0
olympic,Q321007,RMS Olympic,100.0
depression,Q42844,major depressive disorders,100.0
rome,Q220,Rome,100.0
houston,Q16555,Houston,100.0
adjunct professor of education,Q45217910,The adjunct professor in international health education.,68.0
the negro ensemble company,Q17082843,Negro Ensemble Company,92.0
humphrey-hawkins,Q5941737,Humphrey–Hawkins Full Employment Act,62.0
roosevelt,Q8007,Franklin Delano Roosevelt,100.0
dick jordan,Q750983,Riccardo Freda,100.0
east 110th street,Q59779163,110 East 87th Street,92.0
olympic,Q321007,RMS Olympic,100.0
the new york city opera,Q181813,New York City Opera,90.0
the new york city opera,Q181813,New York City Opera,90.0
protestant,Q23540,Protestantism,100.0
uhm,Q2000129,University of Hawaii at Manoa,100.0
the national endowment for the humanities,Q478050,National Endowment for the Humanities,95.0
it--,Q38,Italy,100.0
eastern parkway,Q2488389,Eastern Parkway,100.0
is--,Q294,Icelandic,100.0
is--,Q294,Icelandic,100.0
robert boyd,Q93819,Robert W. Boyd,100.0
u.n.,Q1500617,unitary group,100.0
africans,Q14196,Afrikaans,100.0
the college fund,Q104694724,public college,83.0
william eric perkins,Q56341593,"Asteroid 5535 Annefrank size, shape, and orientation: Stardust first results",26.0
east harlem,Q1069687,East Harlem,100.0
the black theater alliance,Q16956534,Black Theater Alliance Awards,80.0
david driscoll,Q11964823,David Driscoll,100.0
david hammons,Q320846,David Hammons,100.0
barbara,Q1804,Barbara,100.0
pennsylvania,Q1400,Pennsylvania,100.0
benny andrews,Q4889934,Benny Andrews,100.0
the new york jazz repertory company,Q30716119,New York Jazz Repertory Company,100.0
equal opportunity,Q912512,equal opportunity,100.0
northwestern,Q309350,Northwestern University,100.0
black english,Q8002,African American Vernacular English,100.0
alex haley,Q296069,Alex Haley,100.0
boys clubs of america,Q74495028,Boys' clubs of America,100.0
realidad,Q9510,reality,100.0
adam clayton powell,Q1050018,"Adam Clayton Powell, Jr.",100.0
shiva,Q11378,Shiva,100.0
emory taylor,Q75609711,Zachary Taylor Emery,69.0
west point,Q9219,United States Military Academy,100.0
wanda,Q132878,1057 Wanda,100.0
west point,Q9219,United States Military Academy,100.0
albans,Q358147,Francesco Albani,100.0
st. albans,Q6226,St Albans,100.0
stamp alert,Q81409913,Clinical alert: damage to Goldmann applanation tonometer tips,28.0
wanda,Q132878,1057 Wanda,100.0
the theatre alliance,Q4732331,Alliance Theatre,89.0
paris,Q90,Paris,100.0
louis,Q556852,Louis,100.0
census,Q39825,census,100.0
kente,Q1428368,kente cloth,100.0
kente,Q1428368,kente cloth,100.0
black english,Q8002,African American Vernacular English,100.0
boricua,Q893594,Puerto Ricans,100.0
kennedy's children,Q14942055,Kennedy's children,100.0
alan feinstein,Q4706604,Alan Feinstein,100.0
plessy,Q65112289,Plessy,100.0
alert,Q501744,Alert,100.0
alex haley,Q296069,Alex Haley,100.0
louis,Q556852,Louis,100.0
southwest,Q503308,Southwest Airlines,100.0
ralph,Q518387,5051 Ralph,100.0
sojourner truth,Q105180,Sojourner Truth,100.0
the east coast,Q31013896,Sharqiy qirgʻoq,100.0
the white house,Q35525,White House,100.0
little rock,Q33405,Little Rock,100.0
thelonious monk,Q109612,Thelonious Monk,100.0
soul of reason',Q58586437,The Terms ‘Ground of the Soul’ and ‘Sparkle of Reason’ in Eckhart and Aquinas,32.0
leontyne price,Q233718,Leontyne Price,100.0
leonard jeffries,Q6525433,Leonard Jeffries,100.0
general foods corporation,Q4272111,General Foods,100.0
leon keyserling,Q1818891,Leon Keyserling,100.0
bushwick,Q2288728,Bushwick,100.0
bushwick,Q2288728,Bushwick,100.0
third avenue,Q124857,Third Avenue,100.0
wbls,Q7947274,WBLS,100.0
lavenia,Q5492521,Ravenia,100.0
lavenia,Q5492521,Ravenia,100.0
realidad,Q9510,reality,100.0
latin,Q397,Latin,100.0
the humphrey-hawkins bill,Q66848686,Jimmy Carter - Signing of the Humphrey-Hawkins bill; Rosalynn Carter - Meeting with Secretary Califano and others (NAID 182116),34.0
cannonball adderley,Q110477,Cannonball Adderley,100.0
parks,Q22698,park,100.0
brazilian,Q750553,Brazilian Portuguese,100.0
brazil,Q155,Brazil,100.0
boricua,Q893594,Puerto Ricans,100.0
stanley cowell,Q345934,Stanley Cowell,100.0
vy,Q83825,Vy,100.0
the hotel chelsea,Q240711,Hotel Chelsea,87.0
black sports,Q173941,Electronic Arts,76.0
mario anglada,Q57757399,The enigmatic core L1451-mm: a first hydrostatic core? or a hidden VeLLO?,24.0
chicanos,Q581921,Mexican Americans,100.0
strata-east records,Q949686,Strata-East Records,100.0
city hall,Q44686,City Hall,100.0
temple university,Q1420239,Temple University,100.0
the humphrey-hawkins bill,Q66848686,Jimmy Carter - Signing of the Humphrey-Hawkins bill; Rosalynn Carter - Meeting with Secretary Califano and others (NAID 182116),34.0
reason,Q178354,reason,100.0
agrarian,Q96698359,Agrarian,100.0
porgy and bess',Q250312,Porgy & Bess,100.0
the democratic party,Q29552,Democratic Party,100.0
the hotel chelsea,Q240711,Hotel Chelsea,87.0
the daily news,Q627827,New York Daily News,100.0
the democratic national committee,Q1185863,Democratic National Committee,94.0
scott joplin,Q191499,Scott Joplin,100.0
joan sandler,Q93436367,Joan Sandler (b. 1934),100.0
nixon,Q9588,Richard Nixon,100.0
reason,Q178354,reason,100.0
seventh avenue,Q109926,Seventh Avenue,100.0
lunsford,Q6704445,Lunsford,100.0
charles,Q43274,"Charles, Prince of Wales",100.0
june jordan,Q6312325,June Jordan,100.0
stephen goodwin,Q42426236,Stephen B Goodwin,100.0
lunsford,Q6704445,Lunsford,100.0
tai,Q865,Taiwan,100.0
the cultural train,Q5844287,Posadas train station,62.0
northwestern,Q309350,Northwestern University,100.0
ernie,Q1360613,Ernst Wilhelm Wittig,100.0
charles williams,Q124735,Charles Williams,100.0
ojt,Q849415,On-the-job training,100.0
gibson,Q210278,Gibson,100.0
parks department,Q78549965,flag of the New York City Department of Parks and Recreation,86.0
the city college,Q154447,College City,86.0
harvard,Q13371,Harvard University,100.0
piney brown's,Q65962512,"Cloud Peak Contiguous, Rock Creek, Piney Creek, and Little Goose Roadless Areas, Wyoming",23.0
gordon,Q65974,Gordon,100.0
frank silvera,Q3751926,Frank Silvera,100.0
gone with the wind,Q2870,Gone with the Wind,100.0
the city university,Q1094046,"City, University of London",100.0
god's trombone,Q5575754,God's trombones,97.0
haley,Q202319,Bill Haley,100.0
gordon davis,Q18739664,Gordon Davis,100.0
germany,Q183,Germany,100.0
the congressional black caucus,Q2015366,Congressional Black Caucus,93.0
george jackson,Q1489483,George K. Jackson,100.0
pittsburgh,Q1342,Pittsburgh,100.0
hampton,Q79332,Hampton,100.0
picasso,Q5593,Pablo Picasso,100.0
the department of employment,Q16257333,Department of Employment,92.0
park avenue south,Q7568156,South Park Avenue,100.0
grand master,Q105269,Grandmaster,100.0
gambia,Q1005,The Gambia,100.0
gambia,Q1005,The Gambia,100.0
fred o'neill,Q5496017,Fred O'Neill,100.0
franklin,Q16562,El Paso,100.0
grand lodge,Q1378781,Grand Lodge,100.0
portuguese,Q5146,Portuguese,100.0
furman,Q512947,Ashrita Furman,100.0
furman,Q512947,Ashrita Furman,100.0
the freedom fund's,Q47561093,Unified funding: New Freedom Commission's only hope.,47.0
fund,Q2620430,financial endowment,100.0
frank sinatra,Q40912,Frank Sinatra,100.0
percy sutton,Q2666555,Percy Sutton,100.0
fund,Q2620430,financial endowment,100.0
missouri,Q1581,Missouri,100.0
john henry's,Q6238712,John Henry,92.0
hazel bryant,Q18348798,Hazel Joan Bryant,83.0
new york university college of dentistry,Q3339066,New York University College of Dentistry,100.0
malcolm,Q242596,Malcolm in the Middle,100.0
major league baseball,Q1163715,Major League Baseball,100.0
madison avenue,Q109849,Madison Avenue,100.0
new york black,Q64995986,Blackout,90.0
new york black,Q64995986,Blackout,90.0
senate,Q59486,Senate,100.0
lyles,Q4350228,Lyles,100.0
louis armstrong,Q1779,Louis Armstrong,100.0
little women,Q194766,Little Women,100.0
little rock arkansas,Q33405,Little Rock,100.0
little italy,Q201462,Little Italy,100.0
sister zakia,Q34588035,[Sister Mary Joseph nodule: think about looking at the belly button].,21.0
social security,Q904999,Mexican Social Security Institute,100.0
new york times,Q9684,The New York Times,100.0
let's dance,Q60464,Let's Dance,100.0
state,Q7275,state,100.0
leon sullivan,Q2460277,Leon Sullivan,100.0
new yorker,Q217305,The New Yorker,100.0
the guardians association,Q5614038,Guardian Angel Settlement Association,74.0
south jamaica,Q62372,South Jamaica,100.0
latin america,Q12585,Latin America,100.0
southern,Q57609,Southern District,100.0
speech,Q315,language,100.0
la mama experimental theater club,Q3119375,La MaMa Experimental Theatre Club,97.0
konde,Q281650,Kondé,100.0
konde,Q281650,Kondé,100.0
koch,Q32355,Carl Ludwig Koch,100.0
kerner,Q77280,Justinus Kerner,100.0
kenyatta,Q173563,Jomo Kenyatta,100.0
mammy,Q1941572,Mother Machree,100.0
new world,Q828,Americas,100.0
nba,Q155223,National Basketball Association,100.0
manhattan school of music,Q1702106,Manhattan School of Music,100.0
michigan state,Q270222,Michigan State University,100.0
met,Q6655,UTC+01:00,100.0
met,Q6655,UTC+01:00,100.0
rocky,Q188652,Rocky,100.0
rockefeller,Q160278,John D. Rockefeller,100.0
mercer,Q359668,Joe Mercer,100.0
rochester,Q49218,Rochester,100.0
robeson,Q273233,Paul Robeson,100.0
menelik,Q365687,Melnikk I,100.0
robert weaver,Q937030,Bobby Weaver,100.0
robert morgenthau,Q521095,Robert M. Morgenthau,100.0
motown,Q43327,Motown,100.0
russians,Q4224,demographics of Russia,100.0
maynard jackson,Q3302990,Maynard Jackson,100.0
ruth,Q80038,Ruth,100.0
