entity,entity_type,frequency,doc_id
america,GPE,92,"['RG_9_8_56', 'RG_9_8_56', 'RG_9_8_56', 'RG_9_8_56', 'RG9-8_ref4329', 'RG_9_8_111', 'RG_9_8_82', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_40', 'RG_9_8_106', 'RG_9_8_106', 'RG_9_8_106', 'RG_9_8_106', 'RG_9_8_106', 'RG_9_8_106', 'RG_9_8_106', 'RG_9_8_106', 'RG_9_8_78', 'RG_9_8_78', 'RG_9_8_78', 'RG_9_8_115', 'RG_9_8_115', 'RG_9_8_115', 'RG_9_8_115', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_52', 'RG_9_8_114', 'RG_9_8_114', 'RG_9_8_114', 'RG_9_8_114', 'RG_9_8_204', 'RG_9_8_204', 'RG_9_8_204', 'RG_9_8_204', 'RG_9_8_204', 'RG_9_8_204', 'RG_9_8_204', 'RG_9_8_199', 'RG_9_8_207', 'RG9_8_100', 'RG_9_8_26', 'RG_9_8_26', 'RG_9_8_26', 'RG_9_8_26', 'RG_9_8_148', 'RG_9_8_187', 'RG_9_8_187', 'RG_9_8_187', 'RG_9_8_187', 'RG_9_8_187', 'RG_9_8_144', 'RG_9_8_144', 'RG_9_8_196', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_125', 'RG_9_8_132', 'RG_9_8_132', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_134', 'RG_9_8_134', 'RG9-8_ref4324', 'RG9-8_ref4330', 'RG9-8_ref4330', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_121']"
bronx,FAC,74,['RG_9_8_69']
bronx,GPE,74,"['RG_9_8_110', 'RG_9_8_110', 'RG9-8_ref4329', 'RG_9_8_94', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_97', 'RG_9_8_78', 'RG_9_8_207', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG_9_8_201', 'RG_9_8_201', 'RG_9_8_201', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_59']"
bronx,LOC,74,['RG_9_8_207']
black studies,FAC,55,"['RG_9_8_155', 'RG_9_8_155']"
black studies,ORG,55,"['RG_9_8_111', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155']"
black studies,EVENT,55,['RG_9_8_155']
black,PERSON,54,"['RG_9_8_82', 'RG_9_8_199', 'RG_9_8_199', 'RG_9_8_199', 'RG_9_8_199', 'RG_9_8_199', 'RG_9_8_199', 'RG_9_8_192', 'RG_9_8_192', 'RG_9_8_121']"
black,WORK_OF_ART,54,"['RG_9_8_78', 'RG_9_8_115', 'RG9-8_ref4330']"
black,NORP,54,['RG_9_8_204']
black,ORG,54,"['RG_9_8_78', 'RG_9_8_204', 'RG_9_8_148']"
black,LOC,54,"['RG_9_8_42', 'RG_9_8_43', 'RG_9_8_82', 'RG_9_8_82', 'RG_9_8_82', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_55', 'RG_9_8_78', 'RG_9_8_78', 'RG_9_8_78', 'RG_9_8_115', 'RG_9_8_101', 'RG_9_8_199', 'RG9_8_100', 'RG_9_8_148', 'RG_9_8_148', 'RG_9_8_192', 'RG_9_8_187', 'RG_9_8_39', 'RG_9_8_39', 'RG_9_8_39', 'RG_9_8_132', 'RG_9_8_133', 'RG_9_8_134', 'RG_9_8_121']"
black,GPE,54,"['RG9-8_ref4328', 'RG_9_8_111', 'RG_9_8_55', 'RG_9_8_199', 'RG_9_8_199', 'RG_9_8_187', 'RG_9_8_39', 'RG_9_8_132', 'RG_9_8_121']"
african,NORP,51,"['RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_43', 'RG_9_8_111', 'RG_9_8_69', 'RG_9_8_78', 'RG_9_8_114', 'RG_9_8_201', 'RG_9_8_186', 'RG_9_8_186', 'RG_9_8_186', 'RG_9_8_186', 'RG_9_8_186', 'RG_9_8_186', 'RG_9_8_186', 'RG_9_8_186', 'RG_9_8_186', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_208', 'RG_9_8_208', 'RG_9_8_208', 'RG_9_8_125', 'RG_9_8_125', 'RG_9_8_118', 'RG_9_8_132', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_134', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_121', 'RG_9_8_121', 'RG_9_8_121', 'RG_9_8_98', 'RG_9_8_98', 'RG_9_8_98', 'RG_9_8_98']"
spanish,LANGUAGE,48,"['RG_9_8_94', 'RG_9_8_97', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_59', 'RG_9_8_59', 'RG_9_8_67', 'RG_9_8_67']"
spanish,NORP,48,"['RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_52', 'RG_9_8_52', 'RG_9_8_52', 'RG_9_8_182', 'RG_9_8_89', 'RG_9_8_59', 'RG_9_8_67']"
puerto ricans,NORP,47,"['RG_9_8_110', 'RG_9_8_110', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_185', 'RG_9_8_182', 'RG_9_8_155', 'RG_9_8_121']"
puerto ricans,PERSON,47,"['RG_9_8_110', 'RG_9_8_110', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_69', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_185']"
broadway,FAC,44,"['RG_9_8_42', 'RG_9_8_69', 'RG_9_8_101', 'RG_9_8_114', 'RG_9_8_114', 'RG_9_8_114', 'RG_9_8_114', 'RG_9_8_187', 'RG_9_8_187', 'RG_9_8_187', 'RG_9_8_187', 'RG_9_8_187', 'RG_9_8_187', 'RG_9_8_187', 'RG_9_8_187', 'RG_9_8_187', 'RG_9_8_187', 'RG_9_8_187', 'RG_9_8_187', 'RG_9_8_187', 'RG_9_8_187', 'RG_9_8_187', 'RG_9_8_187', 'RG_9_8_187', 'RG_9_8_187', 'RG_9_8_125', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG9-8_ref4324', 'RG9-8_ref4330', 'RG9-8_ref4330']"
broadway,WORK_OF_ART,44,['RG9-8_ref4330']
weeksville,GPE,42,"['RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70']"
weeksville,PERSON,42,"['RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70']"
the wnbc community affairs department,ORG,42,"['RG_9_8_110', 'RG_9_8_42', 'RG_9_8_56', 'RG_9_8_43', 'RG_9_8_94', 'RG_9_8_111', 'RG_9_8_82', 'RG_9_8_69', 'RG_9_8_55', 'RG_9_8_40', 'RG_9_8_97', 'RG_9_8_106', 'RG_9_8_115', 'RG_9_8_101', 'RG_9_8_114', 'RG_9_8_85', 'RG_9_8_199', 'RG_9_8_207', 'RG_9_8_201', 'RG_9_8_185', 'RG_9_8_186', 'RG_9_8_192', 'RG_9_8_187', 'RG_9_8_144', 'RG_9_8_196', 'RG_9_8_182', 'RG_9_8_155', 'RG_9_8_39', 'RG_9_8_209', 'RG_9_8_208', 'RG_9_8_125', 'RG_9_8_118', 'RG_9_8_89', 'RG_9_8_132', 'RG_9_8_133', 'RG_9_8_58', 'RG_9_8_70', 'RG_9_8_134', 'RG9-8_ref4324', 'RG_9_8_67', 'RG_9_8_121', 'RG_9_8_98']"
harlem,GPE,40,"['RG_9_8_42', 'RG_9_8_42', 'RG9-8_ref4328', 'RG9-8_ref4329']"
harlem,LOC,40,"['RG9-8_ref4328', 'RG9-8_ref4328', 'RG9-8_ref4329', 'RG_9_8_111', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_204', 'RG_9_8_26', 'RG_9_8_26', 'RG_9_8_26', 'RG_9_8_26', 'RG_9_8_201', 'RG_9_8_201', 'RG_9_8_182', 'RG_9_8_209', 'RG_9_8_209', 'RG_9_8_209', 'RG_9_8_208', 'RG_9_8_125', 'RG_9_8_118', 'RG_9_8_118', 'RG_9_8_132', 'RG_9_8_132', 'RG_9_8_132', 'RG9-8_ref4324', 'RG9-8_ref4330', 'RG9-8_ref4330', 'RG_9_8_67', 'RG_9_8_98', 'RG_9_8_98']"
the united states,GPE,38,"['RG_9_8_42', 'RG_9_8_56', 'RG_9_8_56', 'RG9-8_ref4329', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_55', 'RG_9_8_40', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_115', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_204', 'RG_9_8_148', 'RG_9_8_148', 'RG_9_8_148', 'RG_9_8_182', 'RG_9_8_209', 'RG_9_8_118', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_70', 'RG9-8_ref4324', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_121']"
the south bronx,LOC,37,"['RG_9_8_110', 'RG_9_8_204', 'RG_9_8_204', 'RG_9_8_204', 'RG_9_8_204', 'RG_9_8_26', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182']"
afro-american,NORP,36,"['RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_69', 'RG_9_8_186', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_132', 'RG_9_8_132', 'RG_9_8_132', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG9-8_ref4330']"
european,NORP,36,"['RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_40', 'RG_9_8_207', 'RG_9_8_186', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_89', 'RG_9_8_133', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_134', 'RG_9_8_67', 'RG_9_8_98', 'RG_9_8_98', 'RG_9_8_98', 'RG_9_8_98', 'RG_9_8_98', 'RG_9_8_98', 'RG_9_8_98', 'RG_9_8_98', 'RG_9_8_98', 'RG_9_8_98', 'RG_9_8_98', 'RG_9_8_98', 'RG_9_8_98', 'RG_9_8_98', 'RG_9_8_98']"
afro-american,PERSON,36,['RG_9_8_111']
la mama,FAC,35,"['RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG9-8_ref4324', 'RG9-8_ref4324', 'RG9-8_ref4324', 'RG9-8_ref4324']"
la mama,ORG,35,"['RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG_9_8_58', 'RG9-8_ref4324', 'RG9-8_ref4324']"
la mama,WORK_OF_ART,35,['RG_9_8_58']
aminu,PERSON,35,"['RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133']"
english,LANGUAGE,34,"['RG_9_8_69', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_101', 'RG9_8_100', 'RG_9_8_148', 'RG_9_8_148', 'RG_9_8_196', 'RG_9_8_196', 'RG_9_8_182', 'RG_9_8_155', 'RG_9_8_125', 'RG_9_8_125', 'RG_9_8_118', 'RG_9_8_59', 'RG_9_8_59', 'RG_9_8_59', 'RG_9_8_59', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67']"
brooklyn,GPE,34,"['RG_9_8_42', 'RG9-8_ref4328', 'RG9-8_ref4329', 'RG_9_8_94', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_78', 'RG_9_8_201', 'RG_9_8_201', 'RG_9_8_201', 'RG_9_8_201', 'RG_9_8_201', 'RG_9_8_201', 'RG_9_8_187', 'RG_9_8_187', 'RG_9_8_59', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70']"
english,NORP,34,"['RG_9_8_69', 'RG_9_8_148', 'RG_9_8_196', 'RG_9_8_58', 'RG_9_8_67', 'RG_9_8_67']"
schomburg,GPE,34,"['RG_9_8_43', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_111', 'RG_9_8_70', 'RG9-8_ref4330', 'RG9-8_ref4330', 'RG9-8_ref4330']"
the institute of afro-american,ORG,34,"['RG9-8_ref4329', 'RG_9_8_43', 'RG_9_8_94', 'RG_9_8_94', 'RG_9_8_82', 'RG_9_8_82', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_69', 'RG_9_8_40', 'RG_9_8_40', 'RG_9_8_40', 'RG_9_8_40', 'RG_9_8_52', 'RG_9_8_52', 'RG_9_8_114', 'RG_9_8_85', 'RG_9_8_85', 'RG_9_8_85', 'RG_9_8_85', 'RG_9_8_207', 'RG_9_8_26', 'RG_9_8_196', 'RG_9_8_155', 'RG_9_8_39', 'RG_9_8_39', 'RG_9_8_39', 'RG_9_8_89', 'RG_9_8_89', 'RG_9_8_121', 'RG_9_8_98', 'RG_9_8_98', 'RG_9_8_98', 'RG_9_8_98']"
schomburg,PERSON,34,['RG_9_8_111']
roscoe c. brown jr.,PERSON,33,"['RG_9_8_42', 'RG_9_8_56', 'RG_9_8_56', 'RG_9_8_43', 'RG_9_8_94', 'RG_9_8_82', 'RG_9_8_69', 'RG_9_8_40', 'RG_9_8_40', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_78', 'RG_9_8_101', 'RG_9_8_52', 'RG_9_8_85', 'RG_9_8_201', 'RG_9_8_185', 'RG_9_8_187', 'RG_9_8_144', 'RG_9_8_144', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_39', 'RG_9_8_208', 'RG_9_8_208', 'RG_9_8_118', 'RG_9_8_89', 'RG_9_8_89', 'RG_9_8_59', 'RG_9_8_58', 'RG9-8_ref4324', 'RG9-8_ref4324', 'RG_9_8_67']"
brown,PERSON,33,"['RG9-8_ref4329', 'RG9-8_ref4329', 'RG_9_8_55', 'RG_9_8_55', 'RG_9_8_55', 'RG_9_8_55', 'RG_9_8_40', 'RG_9_8_106', 'RG_9_8_26', 'RG_9_8_26', 'RG_9_8_26', 'RG_9_8_185', 'RG_9_8_187', 'RG_9_8_187', 'RG_9_8_144', 'RG_9_8_182', 'RG_9_8_208', 'RG_9_8_89', 'RG_9_8_89', 'RG_9_8_89', 'RG_9_8_89', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_70', 'RG_9_8_70', 'RG9-8_ref4324', 'RG9-8_ref4330', 'RG9-8_ref4330', 'RG9-8_ref4330', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_67']"
manhattan,GPE,33,"['RG_9_8_110', 'RG_9_8_110', 'RG_9_8_110', 'RG_9_8_42', 'RG_9_8_94', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG9_8_100', 'RG_9_8_26', 'RG_9_8_201', 'RG_9_8_201', 'RG_9_8_201', 'RG_9_8_196', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_209', 'RG_9_8_59', 'RG_9_8_58', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_70']"
genovese,PERSON,32,"['RG_9_8_115', 'RG_9_8_115', 'RG_9_8_115', 'RG_9_8_115', 'RG_9_8_115', 'RG_9_8_115', 'RG_9_8_115', 'RG_9_8_115']"
genovese,ORG,32,['RG_9_8_115']
genovese,NORP,32,"['RG_9_8_115', 'RG_9_8_115', 'RG_9_8_115', 'RG_9_8_115', 'RG_9_8_115', 'RG_9_8_115', 'RG_9_8_115', 'RG_9_8_115', 'RG_9_8_115', 'RG_9_8_115', 'RG_9_8_115', 'RG_9_8_115', 'RG_9_8_115', 'RG_9_8_115', 'RG_9_8_115', 'RG_9_8_115', 'RG_9_8_115', 'RG_9_8_115', 'RG_9_8_115', 'RG_9_8_115', 'RG_9_8_115', 'RG_9_8_115', 'RG_9_8_115']"
roscoe c. brown junior,PERSON,31,"['RG9-8_ref4328', 'RG_9_8_43', 'RG_9_8_82', 'RG_9_8_69', 'RG_9_8_55', 'RG_9_8_78', 'RG_9_8_115', 'RG_9_8_101', 'RG_9_8_52', 'RG_9_8_114', 'RG_9_8_114', 'RG_9_8_85', 'RG_9_8_204', 'RG_9_8_207', 'RG_9_8_207', 'RG_9_8_26', 'RG_9_8_201', 'RG_9_8_185', 'RG_9_8_186', 'RG_9_8_186', 'RG_9_8_192', 'RG_9_8_182', 'RG_9_8_125', 'RG_9_8_132', 'RG_9_8_132', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_58', 'RG_9_8_70', 'RG_9_8_70', 'RG_9_8_121']"
hispanic,NORP,30,"['RG_9_8_110', 'RG9-8_ref4328', 'RG9-8_ref4329', 'RG9-8_ref4329', 'RG_9_8_55', 'RG_9_8_55', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_101', 'RG_9_8_52', 'RG_9_8_52', 'RG_9_8_52', 'RG_9_8_204', 'RG_9_8_204', 'RG_9_8_199', 'RG9_8_100', 'RG_9_8_201', 'RG_9_8_182', 'RG_9_8_155', 'RG_9_8_39', 'RG_9_8_89', 'RG_9_8_89', 'RG_9_8_121', 'RG_9_8_121', 'RG_9_8_121']"
roscoe,GPE,30,"['RG_9_8_56', 'RG_9_8_56', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_97', 'RG_9_8_106', 'RG_9_8_78', 'RG_9_8_78', 'RG_9_8_115', 'RG_9_8_52', 'RG_9_8_204', 'RG_9_8_199', 'RG_9_8_199', 'RG_9_8_199', 'RG_9_8_199', 'RG_9_8_26', 'RG_9_8_148', 'RG_9_8_186', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_182', 'RG_9_8_39', 'RG_9_8_209', 'RG_9_8_89', 'RG_9_8_132']"
africa,LOC,29,"['RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG_9_8_42', 'RG9-8_ref4329', 'RG_9_8_40', 'RG_9_8_97', 'RG_9_8_78', 'RG_9_8_115', 'RG_9_8_204', 'RG_9_8_185', 'RG_9_8_186', 'RG_9_8_186', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_155', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_133', 'RG_9_8_134', 'RG_9_8_67', 'RG_9_8_67', 'RG_9_8_121', 'RG_9_8_121', 'RG_9_8_121', 'RG_9_8_121']"
